gen,kind,idx,fit,wins,ties,margin,sigma
12,child,9,9561,1,0,-439,0.2582994210393278
12,child,10,-555,0,0,-555,0.2582994210393278
12,child,11,9484,1,0,-516,0.2582994210393278
12,child,12,-589,0,0,-589,0.2582994210393278
12,child,13,9588,1,0,-412,0.2582994210393278
12,child,14,9619,1,0,-381,0.2582994210393278
12,child,15,-525,0,0,-525,0.2582994210393278
12,child,16,-349,0,0,-349,0.2582994210393278
12,child,17,-554,0,0,-554,0.2582994210393278
12,child,18,9554,1,0,-446,0.2582994210393278
12,child,19,29731,3,0,-269,0.2582994210393278
12,child,20,-815,0,0,-815,0.2582994210393278
12,child,21,-380,0,0,-380,0.2582994210393278
12,child,22,-567,0,0,-567,0.2582994210393278
12,child,23,9463,1,0,-537,0.2582994210393278
13,champ,-1,-311,0,0,-311,0.2518419355133446
13,child,0,9659,1,0,-341,0.2518419355133446
13,child,1,-591,0,0,-591,0.2518419355133446
13,child,2,9618,1,0,-382,0.2518419355133446
13,child,3,-603,0,0,-603,0.2518419355133446
13,child,4,9612,1,0,-388,0.2518419355133446
13,child,5,9520,1,0,-480,0.2518419355133446
13,child,6,9509,1,0,-491,0.2518419355133446
13,child,7,29570,3,0,-430,0.2518419355133446
13,child,8,-682,0,0,-682,0.2518419355133446
13,child,9,9665,1,0,-335,0.2518419355133446
13,child,10,-494,0,0,-494,0.2518419355133446
