generation,kind,index,fitness,wins,ties,margin,sigma
7,child,0,-911,0,0,-911,0.24239485343433892
7,child,1,19294,2,0,-706,0.24239485343433892
7,child,2,-574,0,0,-574,0.24239485343433892
7,child,3,19529,2,0,-471,0.24239485343433892
7,child,4,9358,1,0,-642,0.24239485343433892
7,child,5,9640,1,0,-360,0.24239485343433892
7,child,6,9139,1,0,-861,0.24239485343433892
7,child,7,29500,3,0,-500,0.24239485343433892
7,child,8,-612,0,0,-612,0.24239485343433892
7,child,9,11429,1,1,-571,0.24239485343433892
7,child,10,29774,3,0,-226,0.24239485343433892
7,child,11,-843,0,0,-843,0.24239485343433892
7,child,12,-1136,0,0,-1136,0.24239485343433892
7,child,13,-742,0,0,-742,0.24239485343433892
7,child,14,-648,0,0,-648,0.24239485343433892
7,child,15,19397,2,0,-603,0.24239485343433892
7,child,16,9283,1,0,-717,0.24239485343433892
7,child,17,9375,1,0,-625,0.24239485343433892
7,child,18,9493,1,0,-507,0.24239485343433892
7,child,19,19437,2,0,-563,0.24239485343433892
7,child,20,-570,0,0,-570,0.24239485343433892
7,child,21,9254,1,0,-746,0.24239485343433892
7,child,22,39556,4,0,-444,0.24239485343433892
7,child,23,9267,1,0,-733,0.24239485343433892
8,champion,-1,9409,1,0,-591,0.23512300783130874
8,child,0,19614,2,0,-386,0.23512300783130874
8,child,1,-670,0,0,-670,0.23512300783130874
8,child,2,-750,0,0,-750,0.23512300783130874
8,child,3,9338,1,0,-662,0.23512300783130874
8,child,4,-767,0,0,-767,0.23512300783130874
8,child,5,-759,0,0,-759,0.23512300783130874
8,child,6,-724,0,0,-724,0.23512300783130874
8,child,7,19576,2,0,-424,0.23512300783130874
8,child,8,-717,0,0,-717,0.23512300783130874
8,child,9,19597,2,0,-403,0.23512300783130874
8,child,10,29500,3,0,-500,0.23512300783130874
